model,mse,mae,r2,correlation,rmse
Ridge_user_only_train,0.014621917195264948,0.09734994220215214,0.0017217744415749525,0.041497452543895794,0.12092111972383049
Ridge_user_only_test,0.01414786638989355,0.09538079933019278,-0.002725600764636349,-0.009523754836517016,0.11894480396340797
Ridge_news_only_train,0.014626120724003286,0.0973884810500971,0.0014347880529945733,0.03788156313389159,0.1209384997591887
Ridge_news_only_test,0.014167153665913075,0.09544000527442165,-0.004092580413780356,-0.03315199216164113,0.11902585293083631
Ridge_historical_only_train,0.01452975603184955,0.09721143910868016,0.00801386879904531,0.08952680159856721,0.12053943766191026
Ridge_historical_only_test,0.01421727146489563,0.09564787516107716,-0.007644663725062006,0.0024426275778106276,0.11923620031221907
Ridge_user_news_train,0.014600793163901449,0.09725188456395217,0.0031639697614216367,0.05625356383483916,0.1208337418269477
Ridge_user_news_test,0.014207506178355363,0.0955609672837486,-0.006952552098977938,-0.031319170725502804,0.1191952439418426
Ridge_all_features_train,0.014482296363864552,0.09695415301485946,0.011254069964799274,0.10609333284508717,0.12034241298837477
Ridge_all_features_test,0.01431910927222636,0.09598610278166174,-0.01486238643477078,-0.013881090939727333,0.11966248063710846
RandomForest_user_only_train,0.014131627417056196,0.09583999507932578,0.03519519678855465,0.4484386983332443,0.11887652172340928
RandomForest_user_only_test,0.014129997075230043,0.09536502118589828,-0.001459118682644256,-0.0037182429866943825,0.1188696642345306
RandomForest_news_only_train,0.014136890333344799,0.09585482309168036,0.03483588311828234,0.46402491515130695,0.11889865572555813
RandomForest_news_only_test,0.014159804975936389,0.0953965739192238,-0.0035717443125169446,-0.03305220426669477,0.11899497878455371
RandomForest_historical_only_train,0.013847251045420532,0.09498401525850093,0.05461034843222057,0.5698147634918733,0.11767434319094597
RandomForest_historical_only_test,0.01410914946693672,0.09535323137532543,1.844902787362379e-05,0.02087374240364412,0.11878194082829562
RandomForest_user_news_train,0.014062828695913996,0.0955897920557518,0.03989227339932666,0.4676774774529015,0.11858679815187691
RandomForest_user_news_test,0.014169125134287266,0.09550267585550531,-0.004232307617545228,-0.032784493165384315,0.11903413432409742
RandomForest_all_features_train,0.013848404832458397,0.0949661682455875,0.0545315762396652,0.6156902313572608,0.11767924554677599
RandomForest_all_features_test,0.014112513518759893,0.09537309438976524,-0.00021997709182786096,0.015848750628339965,0.11879610060418605
XGBoost_user_only_train,0.014552438619478658,0.09716293872427756,0.006465266585869545,0.23217850690652103,0.1206334887975916
XGBoost_user_only_test,0.014108811593873232,0.09528249936477722,4.239567546204803e-05,0.009580320069171602,0.11878051857890347
XGBoost_news_only_train,0.014549374404868391,0.09715655881041911,0.006674468886978091,0.24372215416913068,0.12062078761502261
XGBoost_news_only_test,0.014117710497188003,0.0952523502862574,-0.0005883113107747473,-0.013129130375816636,0.11881797211359905
XGBoost_historical_only_train,0.01449982959325081,0.09701162201265663,0.010057028503937304,0.2831105307814019,0.12041523821033122
XGBoost_historical_only_test,0.014100626938913285,0.09524207741480832,0.0006224805331779271,0.02751442893887902,0.11874606073008606
XGBoost_user_news_train,0.014541056517053032,0.09711764162840282,0.007242353807800805,0.29000882993154403,0.120586303190093
XGBoost_user_news_test,0.01411485040966932,0.09528532206614244,-0.0003856035033655836,-0.00829412539914204,0.11880593591933578
XGBoost_all_features_train,0.014492774666931026,0.09697664276540925,0.010538687593775409,0.30361451511512716,0.12038594048696478
XGBoost_all_features_test,0.014099259091482921,0.09524992681652207,0.0007194262915394267,0.030708604244640305,0.1187403010417395
NeuralNet_user_only_train,0.013560122594079122,0.09374169265787566,0.07421339207449074,0.2847508717328535,0.11644793941534183
NeuralNet_user_only_test,0.014734578866446427,0.09749995816614802,-0.04430866384387544,0.015094555952161758,0.12138607360997565
NeuralNet_news_only_train,0.01334253408985092,0.09281265346374598,0.08906875358434685,0.30441842680911446,0.11550988741164507
NeuralNet_news_only_test,0.01527947608874502,0.09846406166771997,-0.0829280838699682,-0.022375087448851933,0.12361017793347366
NeuralNet_historical_only_train,0.013540424432689524,0.09308816312435109,0.07555823935656536,0.28185557351339896,0.11636332941562615
NeuralNet_historical_only_test,0.015898511622147126,0.10106050312325766,-0.12680203348322538,0.009138696330063905,0.12608930018898165
NeuralNet_user_news_train,0.01265483841050991,0.09005527334327823,0.13601961600060053,0.39250141950808004,0.11249372609399118
NeuralNet_user_news_test,0.01504130535369255,0.09820592172594116,-0.06604780759307016,-0.008819905527464457,0.12264299961144358
NeuralNet_all_features_train,0.013339634105815087,0.09275521410400074,0.08926674341555563,0.30098281657273446,0.11549733376063313
NeuralNet_all_features_test,0.016233353021181746,0.10201179804402304,-0.15053381280280553,-0.016522574688993125,0.12741017628581222
DKRL_train,0.014645134030456407,0.09748507122169668,0.00013669768806168214,0.017508932404305972,0.12101708156477914
DKRL_test,0.014112094285012908,0.09525640224578152,-0.00019026403127009317,-0.014616416614602975,0.11879433608136757
